TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Meio Ambiente,Água Tratada,qt1,Qual é o tamanho da população que usufruem de acesso à água tratada?,qt1.csv,codigo_V00.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,padrao,População com acesso a água tratada
Meio Ambiente,Água Tratada,qt2,Qual é o tamanho da população que não usufruem de acesso à água tratada?,qt2.csv,codigo_V01.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,padrao,População sem acesso à água tratada
Meio Ambiente,Água Tratada,qt3,Qual é o volume de água consumida em Salvador?,qt3.csv,codigo_V02.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,padrao,Volume de água consumida (m³)
Meio Ambiente,Água Tratada,qt4,Qual é o volume de água consumida percapita em Salvador?,qt4.csv,codigo_V04.R,https://www.painelsaneamento.org.br/,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_meio_ambiente_acessibilidade_agua_tratada,,anual,padrao,Volume de água consumida per capita (litros diários por pessoa)
